Value,Format,Metric,Year
847,CD,Units,1998
56,CD Single,Units,1998
158.5,Cassette,Units,1998
26.4,Cassette Single,Units,1998
3.4,LP/EP,Units,1998
5.4,Vinyl Single,Units,1998
,8 - Track,Units,1998
,Other Tapes,Units,1998
27.2,Music Video (Physical),Units,1998
,DVD Audio,Units,1998
,SACD,Units,1998
,Download Single,Units,1998
,Download Album,Units,1998
,Kiosk,Units,1998
,Download Music Video,Units,1998
,Ringtones & Ringbacks,Units,1998
,,Units,1998
,Paid Subscriptions,Units,1998
11416,CD,Value,1998
213.2,CD Single,Value,1998
1419.9,Cassette,Value,1998
94.4,Cassette Single,Value,1998
34,LP/EP,Value,1998
25.7,Vinyl Single,Value,1998
,8 - Track,Value,1998
,Other Tapes,Value,1998
508,Music Video (Physical),Value,1998
,DVD Audio,Value,1998
,SACD,Value,1998
,Download Single,Value,1998
,Download Album,Value,1998
,Kiosk,Value,1998
,Download Music Video,Value,1998
,Ringtones & Ringbacks,Value,1998
,Other Digital,Value,1998
,Paid Subscription,Value,1998
,Limited Tier Paid Subscription,Value,1998
,SoundExchange Distributions,Value,1998
,On-Demand Streaming (Ad-Supported),Value,1998
,Other Ad-Supported Streaming,Value,1998
,Synchronization,Value,1998
17167.42282,CD,Value (Adjusted),1998
320.6109448,CD Single,Value (Adjusted),1998
2135.250847,Cassette,Value (Adjusted),1998
141.9590675,Cassette Single,Value (Adjusted),1998
51.12932515,LP/EP,Value (Adjusted),1998
38.6477546,Vinyl Single,Value (Adjusted),1998
,8 - Track,Value (Adjusted),1998
,Other Tapes,Value (Adjusted),1998
763.9322699,Music Video (Physical),Value (Adjusted),1998
,DVD Audio,Value (Adjusted),1998
,SACD,Value (Adjusted),1998
,Download Single,Value (Adjusted),1998
,Download Album,Value (Adjusted),1998
,Kiosk,Value (Adjusted),1998
,Download Music Video,Value (Adjusted),1998
,Ringtones & Ringbacks,Value (Adjusted),1998
,Other Digital,Value (Adjusted),1998
,Paid Subscription,Value (Adjusted),1998
,Limited Tier Paid Subscription,Value (Adjusted),1998
,SoundExchange Distributions,Value (Adjusted),1998
,On-Demand Streaming (Ad-Supported),Value (Adjusted),1998
,Other Ad-Supported Streaming,Value (Adjusted),1998
,Synchronization,Value (Adjusted),1998
938.9,CD,Units,1999
55.9,CD Single,Units,1999
123.6,Cassette,Units,1999
14.2,Cassette Single,Units,1999
2.9,LP/EP,Units,1999
5.3,Vinyl Single,Units,1999
,8 - Track,Units,1999
,Other Tapes,Units,1999
19.8,Music Video (Physical),Units,1999
,DVD Audio,Units,1999
,SACD,Units,1999
,Download Single,Units,1999
,Download Album,Units,1999
,Kiosk,Units,1999
,Download Music Video,Units,1999
,Ringtones & Ringbacks,Units,1999
,,Units,1999
,Paid Subscriptions,Units,1999
12816.3,CD,Value,1999
222.4,CD Single,Value,1999
1061.6,Cassette,Value,1999
48,Cassette Single,Value,1999
31.8,LP/EP,Value,1999
27.9,Vinyl Single,Value,1999
,8 - Track,Value,1999
,Other Tapes,Value,1999
376.7,Music Video (Physical),Value,1999
,DVD Audio,Value,1999
,SACD,Value,1999
,Download Single,Value,1999
,Download Album,Value,1999
,Kiosk,Value,1999
,Download Music Video,Value,1999
,Ringtones & Ringbacks,Value,1999
,Other Digital,Value,1999
,Paid Subscription,Value,1999
,Limited Tier Paid Subscription,Value,1999
,SoundExchange Distributions,Value,1999
,On-Demand Streaming (Ad-Supported),Value,1999
,Other Ad-Supported Streaming,Value,1999
,Synchronization,Value,1999
18856.73143,CD,Value (Adjusted),1999
327.2190156,CD Single,Value (Adjusted),1999
1561.941128,Cassette,Value (Adjusted),1999
70.62280912,Cassette Single,Value (Adjusted),1999
46.78761104,LP/EP,Value (Adjusted),1999
41.0495078,Vinyl Single,Value (Adjusted),1999
,8 - Track,Value (Adjusted),1999
,Other Tapes,Value (Adjusted),1999
554.2419208,Music Video (Physical),Value (Adjusted),1999
,DVD Audio,Value (Adjusted),1999
,SACD,Value (Adjusted),1999
,Download Single,Value (Adjusted),1999
,Download Album,Value (Adjusted),1999
,Kiosk,Value (Adjusted),1999
,Download Music Video,Value (Adjusted),1999
,Ringtones & Ringbacks,Value (Adjusted),1999
,Other Digital,Value (Adjusted),1999
,Paid Subscription,Value (Adjusted),1999
,Limited Tier Paid Subscription,Value (Adjusted),1999
,SoundExchange Distributions,Value (Adjusted),1999
,On-Demand Streaming (Ad-Supported),Value (Adjusted),1999
,Other Ad-Supported Streaming,Value (Adjusted),1999
,Synchronization,Value (Adjusted),1999
942.5,CD,Units,2000
34.2,CD Single,Units,2000
76,Cassette,Units,2000
1.3,Cassette Single,Units,2000
2.2,LP/EP,Units,2000
4.8,Vinyl Single,Units,2000
,8 - Track,Units,2000
,Other Tapes,Units,2000
18.2,Music Video (Physical),Units,2000
,DVD Audio,Units,2000
,SACD,Units,2000
,Download Single,Units,2000
,Download Album,Units,2000
,Kiosk,Units,2000
,Download Music Video,Units,2000
,Ringtones & Ringbacks,Units,2000
,,Units,2000
,Paid Subscriptions,Units,2000
13214.5,CD,Value,2000
142.7,CD Single,Value,2000
626,Cassette,Value,2000
4.6,Cassette Single,Value,2000
27.7,LP/EP,Value,2000
26.3,Vinyl Single,Value,2000
,8 - Track,Value,2000
,Other Tapes,Value,2000
281.9,Music Video (Physical),Value,2000
,DVD Audio,Value,2000
,SACD,Value,2000
,Download Single,Value,2000
,Download Album,Value,2000
,Kiosk,Value,2000
,Download Music Video,Value,2000
,Ringtones & Ringbacks,Value,2000
,Other Digital,Value,2000
,Paid Subscription,Value,2000
,Limited Tier Paid Subscription,Value,2000
,SoundExchange Distributions,Value,2000
,On-Demand Streaming (Ad-Supported),Value,2000
,Other Ad-Supported Streaming,Value,2000
,Synchronization,Value,2000
18810.3266,CD,Value (Adjusted),2000
203.1278978,CD Single,Value (Adjusted),2000
891.0866434,Cassette,Value (Adjusted),2000
6.547921022,Cassette Single,Value (Adjusted),2000
39.42987224,LP/EP,Value (Adjusted),2000
37.43702671,Vinyl Single,Value (Adjusted),2000
,8 - Track,Value (Adjusted),2000
,Other Tapes,Value (Adjusted),2000
401.2736818,Music Video (Physical),Value (Adjusted),2000
,DVD Audio,Value (Adjusted),2000
,SACD,Value (Adjusted),2000
,Download Single,Value (Adjusted),2000
,Download Album,Value (Adjusted),2000
,Kiosk,Value (Adjusted),2000
,Download Music Video,Value (Adjusted),2000
,Ringtones & Ringbacks,Value (Adjusted),2000
,Other Digital,Value (Adjusted),2000
,Paid Subscription,Value (Adjusted),2000
,Limited Tier Paid Subscription,Value (Adjusted),2000
,SoundExchange Distributions,Value (Adjusted),2000
,On-Demand Streaming (Ad-Supported),Value (Adjusted),2000
,Other Ad-Supported Streaming,Value (Adjusted),2000
,Synchronization,Value (Adjusted),2000
881.9,CD,Units,2001
17.3,CD Single,Units,2001
45,Cassette,Units,2001
,Cassette Single,Units,2001
2.3,LP/EP,Units,2001
5.5,Vinyl Single,Units,2001
,8 - Track,Units,2001
,Other Tapes,Units,2001
17.7,Music Video (Physical),Units,2001
0.263,DVD Audio,Units,2001
,SACD,Units,2001
,Download Single,Units,2001
,Download Album,Units,2001
,Kiosk,Units,2001
,Download Music Video,Units,2001
,Ringtones & Ringbacks,Units,2001
,,Units,2001
,Paid Subscriptions,Units,2001
12909.4,CD,Value,2001
79.4,CD Single,Value,2001
363.4,Cassette,Value,2001
,Cassette Single,Value,2001
27.4,LP/EP,Value,2001
31.4,Vinyl Single,Value,2001
,8 - Track,Value,2001
,Other Tapes,Value,2001
329.2,Music Video (Physical),Value,2001
6,DVD Audio,Value,2001
,SACD,Value,2001
,Download Single,Value,2001
,Download Album,Value,2001
,Kiosk,Value,2001
,Download Music Video,Value,2001
,Ringtones & Ringbacks,Value,2001
,Other Digital,Value,2001
,Paid Subscription,Value,2001
,Limited Tier Paid Subscription,Value,2001
,SoundExchange Distributions,Value,2001
,On-Demand Streaming (Ad-Supported),Value,2001
,Other Ad-Supported Streaming,Value,2001
,Synchronization,Value,2001
17867.60095,CD,Value (Adjusted),2001
109.8956973,CD Single,Value (Adjusted),2001
502.9735065,Cassette,Value (Adjusted),2001
,Cassette Single,Value (Adjusted),2001
37.92370412,LP/EP,Value (Adjusted),2001
43.46001129,Vinyl Single,Value (Adjusted),2001
,8 - Track,Value (Adjusted),2001
,Other Tapes,Value (Adjusted),2001
455.6380802,Music Video (Physical),Value (Adjusted),2001
8.304460757,DVD Audio,Value (Adjusted),2001
,SACD,Value (Adjusted),2001
,Download Single,Value (Adjusted),2001
,Download Album,Value (Adjusted),2001
,Kiosk,Value (Adjusted),2001
,Download Music Video,Value (Adjusted),2001
,Ringtones & Ringbacks,Value (Adjusted),2001
,Other Digital,Value (Adjusted),2001
,Paid Subscription,Value (Adjusted),2001
,Limited Tier Paid Subscription,Value (Adjusted),2001
,SoundExchange Distributions,Value (Adjusted),2001
,On-Demand Streaming (Ad-Supported),Value (Adjusted),2001
,Other Ad-Supported Streaming,Value (Adjusted),2001
,Synchronization,Value (Adjusted),2001
803.3,CD,Units,2002
4.5,CD Single,Units,2002
31.1,Cassette,Units,2002
,Cassette Single,Units,2002
1.743,LP/EP,Units,2002
4.4,Vinyl Single,Units,2002
,8 - Track,Units,2002
,Other Tapes,Units,2002
14.7,Music Video (Physical),Units,2002
0.43,DVD Audio,Units,2002
,SACD,Units,2002
,Download Single,Units,2002
,Download Album,Units,2002
,Kiosk,Units,2002
,Download Music Video,Units,2002
,Ringtones & Ringbacks,Units,2002
,,Units,2002
,Paid Subscriptions,Units,2002
12044.1,CD,Value,2002
19.6,CD Single,Value,2002
209.8,Cassette,Value,2002
,Cassette Single,Value,2002
20.5,LP/EP,Value,2002
24.9,Vinyl Single,Value,2002
,8 - Track,Value,2002
,Other Tapes,Value,2002
288.4,Music Video (Physical),Value,2002
8.5,DVD Audio,Value,2002
,SACD,Value,2002
,Download Single,Value,2002
,Download Album,Value,2002
,Kiosk,Value,2002
,Download Music Video,Value,2002
,Ringtones & Ringbacks,Value,2002
,Other Digital,Value,2002
,Paid Subscription,Value,2002
,Limited Tier Paid Subscription,Value,2002
,SoundExchange Distributions,Value,2002
,On-Demand Streaming (Ad-Supported),Value,2002
,Other Ad-Supported Streaming,Value,2002
,Synchronization,Value,2002
16410.50468,CD,Value (Adjusted),2002
26.70568093,CD Single,Value (Adjusted),2002
285.8597888,Cassette,Value (Adjusted),2002
,Cassette Single,Value (Adjusted),2002
27.9319622,LP/EP,Value (Adjusted),2002
33.92711506,Vinyl Single,Value (Adjusted),2002
,8 - Track,Value (Adjusted),2002
,Other Tapes,Value (Adjusted),2002
392.9550195,Music Video (Physical),Value (Adjusted),2002
11.5815453,DVD Audio,Value (Adjusted),2002
,SACD,Value (Adjusted),2002
,Download Single,Value (Adjusted),2002
,Download Album,Value (Adjusted),2002
,Kiosk,Value (Adjusted),2002
,Download Music Video,Value (Adjusted),2002
,Ringtones & Ringbacks,Value (Adjusted),2002
,Other Digital,Value (Adjusted),2002
,Paid Subscription,Value (Adjusted),2002
,Limited Tier Paid Subscription,Value (Adjusted),2002
,SoundExchange Distributions,Value (Adjusted),2002
,On-Demand Streaming (Ad-Supported),Value (Adjusted),2002
,Other Ad-Supported Streaming,Value (Adjusted),2002
,Synchronization,Value (Adjusted),2002
746,CD,Units,2003
8.3,CD Single,Units,2003
17.2,Cassette,Units,2003
,Cassette Single,Units,2003
1.5,LP/EP,Units,2003
3.8,Vinyl Single,Units,2003
,8 - Track,Units,2003
,Other Tapes,Units,2003
19.9,Music Video (Physical),Units,2003
0.4,DVD Audio,Units,2003
1.3,SACD,Units,2003
,Download Single,Units,2003
,Download Album,Units,2003
,Kiosk,Units,2003
,Download Music Video,Units,2003
,Ringtones & Ringbacks,Units,2003
,,Units,2003
,Paid Subscriptions,Units,2003
11232.9,CD,Value,2003
36,CD Single,Value,2003
108.1,Cassette,Value,2003
,Cassette Single,Value,2003
21.7,LP/EP,Value,2003
21.5,Vinyl Single,Value,2003
,8 - Track,Value,2003
,Other Tapes,Value,2003
399.9,Music Video (Physical),Value,2003
8,DVD Audio,Value,2003
26.3,SACD,Value,2003
,Download Single,Value,2003
,Download Album,Value,2003
,Kiosk,Value,2003
,Download Music Video,Value,2003
,Ringtones & Ringbacks,Value,2003
,Other Digital,Value,2003
,Paid Subscription,Value,2003
,Limited Tier Paid Subscription,Value,2003
,SoundExchange Distributions,Value,2003
,On-Demand Streaming (Ad-Supported),Value,2003
,Other Ad-Supported Streaming,Value,2003
,Synchronization,Value,2003
14964.17635,CD,Value (Adjusted),2003
47.95826087,CD Single,Value (Adjusted),2003
144.008,Cassette,Value (Adjusted),2003
,Cassette Single,Value (Adjusted),2003
28.90817391,LP/EP,Value (Adjusted),2003
28.64173913,Vinyl Single,Value (Adjusted),2003
,8 - Track,Value (Adjusted),2003
,Other Tapes,Value (Adjusted),2003
532.7363478,Music Video (Physical),Value (Adjusted),2003
10.6573913,DVD Audio,Value (Adjusted),2003
35.03617391,SACD,Value (Adjusted),2003
,Download Single,Value (Adjusted),2003
,Download Album,Value (Adjusted),2003
,Kiosk,Value (Adjusted),2003
,Download Music Video,Value (Adjusted),2003
,Ringtones & Ringbacks,Value (Adjusted),2003
,Other Digital,Value (Adjusted),2003
,Paid Subscription,Value (Adjusted),2003
,Limited Tier Paid Subscription,Value (Adjusted),2003
,SoundExchange Distributions,Value (Adjusted),2003
,On-Demand Streaming (Ad-Supported),Value (Adjusted),2003
,Other Ad-Supported Streaming,Value (Adjusted),2003
,Synchronization,Value (Adjusted),2003
767,CD,Units,2004
3.1,CD Single,Units,2004
5.2,Cassette,Units,2004
,Cassette Single,Units,2004
1.4,LP/EP,Units,2004
3.5,Vinyl Single,Units,2004
,8 - Track,Units,2004
,Other Tapes,Units,2004
32.8,Music Video (Physical),Units,2004
0.3,DVD Audio,Units,2004
0.8,SACD,Units,2004
139.4,Download Single,Units,2004
4.6,Download Album,Units,2004
,Kiosk,Units,2004
,Download Music Video,Units,2004
,Ringtones & Ringbacks,Units,2004
,,Units,2004
,Paid Subscriptions,Units,2004
11446.5,CD,Value,2004
15,CD Single,Value,2004
23.7,Cassette,Value,2004
,Cassette Single,Value,2004
19.3,LP/EP,Value,2004
19.9,Vinyl Single,Value,2004
,8 - Track,Value,2004
,Other Tapes,Value,2004
607.2,Music Video (Physical),Value,2004
6.5,DVD Audio,Value,2004
16.6,SACD,Value,2004
138,Download Single,Value,2004
45.5,Download Album,Value,2004
,Kiosk,Value,2004
,Download Music Video,Value,2004
,Ringtones & Ringbacks,Value,2004
,Other Digital,Value,2004
,Paid Subscription,Value,2004
,Limited Tier Paid Subscription,Value,2004
6.9,SoundExchange Distributions,Value,2004
,On-Demand Streaming (Ad-Supported),Value,2004
,Other Ad-Supported Streaming,Value,2004
,Synchronization,Value,2004
14853.182,CD,Value (Adjusted),2004
19.46426681,CD Single,Value (Adjusted),2004
30.75354156,Cassette,Value (Adjusted),2004
,Cassette Single,Value (Adjusted),2004
25.04402329,LP/EP,Value (Adjusted),2004
25.82259397,Vinyl Single,Value (Adjusted),2004
,8 - Track,Value (Adjusted),2004
,Other Tapes,Value (Adjusted),2004
787.9135204,Music Video (Physical),Value (Adjusted),2004
8.434515617,DVD Audio,Value (Adjusted),2004
21.54045527,SACD,Value (Adjusted),2004
179.0712546,Download Single,Value (Adjusted),2004
59.04160932,Download Album,Value (Adjusted),2004
,Kiosk,Value (Adjusted),2004
,Download Music Video,Value (Adjusted),2004
,Ringtones & Ringbacks,Value (Adjusted),2004
,Other Digital,Value (Adjusted),2004
,Paid Subscription,Value (Adjusted),2004
,Limited Tier Paid Subscription,Value (Adjusted),2004
8.953562732,SoundExchange Distributions,Value (Adjusted),2004
,On-Demand Streaming (Ad-Supported),Value (Adjusted),2004
,Other Ad-Supported Streaming,Value (Adjusted),2004
,Synchronization,Value (Adjusted),2004
705.4,CD,Units,2005
2.8,CD Single,Units,2005
2.5,Cassette,Units,2005
,Cassette Single,Units,2005
1,LP/EP,Units,2005
2.3,Vinyl Single,Units,2005
,8 - Track,Units,2005
,Other Tapes,Units,2005
33.8,Music Video (Physical),Units,2005
0.5,DVD Audio,Units,2005
0.5,SACD,Units,2005
366.9,Download Single,Units,2005
13.6,Download Album,Units,2005
0.7,Kiosk,Units,2005
1.9,Download Music Video,Units,2005
170,Ringtones & Ringbacks,Units,2005
,,Units,2005
1.3,Paid Subscriptions,Units,2005
10520.2,CD,Value,2005
10.9,CD Single,Value,2005
13.1,Cassette,Value,2005
,Cassette Single,Value,2005
14.2,LP/EP,Value,2005
13.2,Vinyl Single,Value,2005
,8 - Track,Value,2005
,Other Tapes,Value,2005
602.2,Music Video (Physical),Value,2005
11.2,DVD Audio,Value,2005
10,SACD,Value,2005
363.3,Download Single,Value,2005
135.7,Download Album,Value,2005
1,Kiosk,Value,2005
3.7,Download Music Video,Value,2005
421.6,Ringtones & Ringbacks,Value,2005
,Other Digital,Value,2005
149.2,Paid Subscription,Value,2005
,Limited Tier Paid Subscription,Value,2005
20.4,SoundExchange Distributions,Value,2005
,On-Demand Streaming (Ad-Supported),Value,2005
,Other Ad-Supported Streaming,Value,2005
,Synchronization,Value,2005
13203.84754,CD,Value (Adjusted),2005
13.68053251,CD Single,Value (Adjusted),2005
16.44174091,Cassette,Value (Adjusted),2005
,Cassette Single,Value (Adjusted),2005
17.82234511,LP/EP,Value (Adjusted),2005
16.56725038,Vinyl Single,Value (Adjusted),2005
,8 - Track,Value (Adjusted),2005
,Other Tapes,Value (Adjusted),2005
755.818044,Music Video (Physical),Value (Adjusted),2005
14.05706093,DVD Audio,Value (Adjusted),2005
12.55094726,SACD,Value (Adjusted),2005
455.975914,Download Single,Value (Adjusted),2005
170.3163543,Download Album,Value (Adjusted),2005
1.255094726,Kiosk,Value (Adjusted),2005
4.643850486,Download Music Video,Value (Adjusted),2005
529.1479365,Ringtones & Ringbacks,Value (Adjusted),2005
,Other Digital,Value (Adjusted),2005
187.2601331,Paid Subscription,Value (Adjusted),2005
,Limited Tier Paid Subscription,Value (Adjusted),2005
25.60393241,SoundExchange Distributions,Value (Adjusted),2005
,On-Demand Streaming (Ad-Supported),Value (Adjusted),2005
,Other Ad-Supported Streaming,Value (Adjusted),2005
,Synchronization,Value (Adjusted),2005
619.7,CD,Units,2006
1.7,CD Single,Units,2006
0.7,Cassette,Units,2006
,Cassette Single,Units,2006
0.9,LP/EP,Units,2006
1.5,Vinyl Single,Units,2006
,8 - Track,Units,2006
,Other Tapes,Units,2006
23.2,Music Video (Physical),Units,2006
0.1,DVD Audio,Units,2006
0.3,SACD,Units,2006
586.4,Download Single,Units,2006
27.6,Download Album,Units,2006
1.4,Kiosk,Units,2006
9.9,Download Music Video,Units,2006
315,Ringtones & Ringbacks,Units,2006
,,Units,2006
1.7,Paid Subscriptions,Units,2006
9372.6,CD,Value,2006
7.7,CD Single,Value,2006
3.7,Cassette,Value,2006
,Cassette Single,Value,2006
15.7,LP/EP,Value,2006
9.9,Vinyl Single,Value,2006
,8 - Track,Value,2006
,Other Tapes,Value,2006
451.1,Music Video (Physical),Value,2006
2.4,DVD Audio,Value,2006
5.5,SACD,Value,2006
580.6,Download Single,Value,2006
275.9,Download Album,Value,2006
1.9,Kiosk,Value,2006
19.7,Download Music Video,Value,2006
773.8,Ringtones & Ringbacks,Value,2006
,Other Digital,Value,2006
206.2,Paid Subscription,Value,2006
,Limited Tier Paid Subscription,Value,2006
32.8,SoundExchange Distributions,Value,2006
,On-Demand Streaming (Ad-Supported),Value,2006
,Other Ad-Supported Streaming,Value,2006
,Synchronization,Value,2006
11395.89143,CD,Value (Adjusted),2006
9.362222222,CD Single,Value (Adjusted),2006
4.498730159,Cassette,Value (Adjusted),2006
,Cassette Single,Value (Adjusted),2006
19.08920635,LP/EP,Value (Adjusted),2006
12.03714286,Vinyl Single,Value (Adjusted),2006
,8 - Track,Value (Adjusted),2006
,Other Tapes,Value (Adjusted),2006
548.4803175,Music Video (Physical),Value (Adjusted),2006
2.918095238,DVD Audio,Value (Adjusted),2006
6.687301587,SACD,Value (Adjusted),2006
705.935873,Download Single,Value (Adjusted),2006
335.4593651,Download Album,Value (Adjusted),2006
2.31015873,Kiosk,Value (Adjusted),2006
23.95269841,Download Music Video,Value (Adjusted),2006
940.8425397,Ringtones & Ringbacks,Value (Adjusted),2006
,Other Digital,Value (Adjusted),2006
250.7130159,Paid Subscription,Value (Adjusted),2006
,Limited Tier Paid Subscription,Value (Adjusted),2006
39.88063492,SoundExchange Distributions,Value (Adjusted),2006
,On-Demand Streaming (Ad-Supported),Value (Adjusted),2006
,Other Ad-Supported Streaming,Value (Adjusted),2006
,Synchronization,Value (Adjusted),2006
499.7,CD,Units,2007
2.6,CD Single,Units,2007
0.4,Cassette,Units,2007
,Cassette Single,Units,2007
1.3,LP/EP,Units,2007
0.6,Vinyl Single,Units,2007
,8 - Track,Units,2007
,Other Tapes,Units,2007
27.5,Music Video (Physical),Units,2007
0.2,DVD Audio,Units,2007
0.2,SACD,Units,2007
819.4,Download Single,Units,2007
49.8,Download Album,Units,2007
1.8,Kiosk,Units,2007
14.2,Download Music Video,Units,2007
433.8,Ringtones & Ringbacks,Units,2007
,,Units,2007
1.8,Paid Subscriptions,Units,2007
7452.3,CD,Value,2007
12.2,CD Single,Value,2007
3,Cassette,Value,2007
,Cassette Single,Value,2007
22.9,LP/EP,Value,2007
4,Vinyl Single,Value,2007
,8 - Track,Value,2007
,Other Tapes,Value,2007
484.9,Music Video (Physical),Value,2007
2.8,DVD Audio,Value,2007
3.6,SACD,Value,2007
811,Download Single,Value,2007
497.4,Download Album,Value,2007
2.6,Kiosk,Value,2007
28.2,Download Music Video,Value,2007
1055.8,Ringtones & Ringbacks,Value,2007
,Other Digital,Value,2007
234,Paid Subscription,Value,2007
,Limited Tier Paid Subscription,Value,2007
36.2,SoundExchange Distributions,Value,2007
,On-Demand Streaming (Ad-Supported),Value,2007
,Other Ad-Supported Streaming,Value,2007
,Synchronization,Value,2007
8811.90437,CD,Value (Adjusted),2007
14.42577906,CD Single,Value (Adjusted),2007
3.547322721,Cassette,Value (Adjusted),2007
,Cassette Single,Value (Adjusted),2007
27.07789677,LP/EP,Value (Adjusted),2007
4.729763628,Vinyl Single,Value (Adjusted),2007
,8 - Track,Value (Adjusted),2007
,Other Tapes,Value (Adjusted),2007
573.3655958,Music Video (Physical),Value (Adjusted),2007
3.310834539,DVD Audio,Value (Adjusted),2007
4.256787265,SACD,Value (Adjusted),2007
958.9595755,Download Single,Value (Adjusted),2007
588.1461071,Download Album,Value (Adjusted),2007
3.074346358,Kiosk,Value (Adjusted),2007
33.34483358,Download Music Video,Value (Adjusted),2007
1248.42111,Ringtones & Ringbacks,Value (Adjusted),2007
,Other Digital,Value (Adjusted),2007
276.6911722,Paid Subscription,Value (Adjusted),2007
,Limited Tier Paid Subscription,Value (Adjusted),2007
42.80436083,SoundExchange Distributions,Value (Adjusted),2007
,On-Demand Streaming (Ad-Supported),Value (Adjusted),2007
,Other Ad-Supported Streaming,Value (Adjusted),2007
,Synchronization,Value (Adjusted),2007
368.4,CD,Units,2008
0.7,CD Single,Units,2008
0.1,Cassette,Units,2008
,Cassette Single,Units,2008
2.9,LP/EP,Units,2008
0.4,Vinyl Single,Units,2008
,8 - Track,Units,2008
,Other Tapes,Units,2008
13.2,Music Video (Physical),Units,2008
0.04,DVD Audio,Units,2008
0.1,SACD,Units,2008
1042.7,Download Single,Units,2008
63.6,Download Album,Units,2008
1.6,Kiosk,Units,2008
20.8,Download Music Video,Units,2008
405.1,Ringtones & Ringbacks,Units,2008
,,Units,2008
1.6,Paid Subscriptions,Units,2008
5471.3,CD,Value,2008
3.5,CD Single,Value,2008
0.9,Cassette,Value,2008
,Cassette Single,Value,2008
56.7,LP/EP,Value,2008
2.9,Vinyl Single,Value,2008
,8 - Track,Value,2008
,Other Tapes,Value,2008
227.3,Music Video (Physical),Value,2008
1.2,DVD Audio,Value,2008
3.1,SACD,Value,2008
1032.2,Download Single,Value,2008
635.3,Download Album,Value,2008
2.6,Kiosk,Value,2008
41.3,Download Music Video,Value,2008
977.1,Ringtones & Ringbacks,Value,2008
,Other Digital,Value,2008
221.4,Paid Subscription,Value,2008
,Limited Tier Paid Subscription,Value,2008
100,SoundExchange Distributions,Value,2008
,On-Demand Streaming (Ad-Supported),Value,2008
,Other Ad-Supported Streaming,Value,2008
,Synchronization,Value,2008
6229.012396,CD,Value (Adjusted),2008
3.98470992,CD Single,Value (Adjusted),2008
1.024639694,Cassette,Value (Adjusted),2008
,Cassette Single,Value (Adjusted),2008
64.55230071,LP/EP,Value (Adjusted),2008
3.301616791,Vinyl Single,Value (Adjusted),2008
,8 - Track,Value (Adjusted),2008
,Other Tapes,Value (Adjusted),2008
258.7784471,Music Video (Physical),Value (Adjusted),2008
1.366186258,DVD Audio,Value (Adjusted),2008
3.529314501,SACD,Value (Adjusted),2008
1175.14788,Download Single,Value (Adjusted),2008
723.281775,Download Album,Value (Adjusted),2008
2.960070227,Kiosk,Value (Adjusted),2008
47.01957706,Download Music Video,Value (Adjusted),2008
1112.417161,Ringtones & Ringbacks,Value (Adjusted),2008
,Other Digital,Value (Adjusted),2008
252.0613647,Paid Subscription,Value (Adjusted),2008
,Limited Tier Paid Subscription,Value (Adjusted),2008
113.8488549,SoundExchange Distributions,Value (Adjusted),2008
,On-Demand Streaming (Ad-Supported),Value (Adjusted),2008
,Other Ad-Supported Streaming,Value (Adjusted),2008
,Synchronization,Value (Adjusted),2008
296.6,CD,Units,2009
0.9,CD Single,Units,2009
,Cassette,Units,2009
,Cassette Single,Units,2009
3.5,LP/EP,Units,2009
0.3,Vinyl Single,Units,2009
,8 - Track,Units,2009
,Other Tapes,Units,2009
11.6,Music Video (Physical),Units,2009
0.1,DVD Audio,Units,2009
0.1,SACD,Units,2009
1124.4,Download Single,Units,2009
74.5,Download Album,Units,2009
1.7,Kiosk,Units,2009
20.5,Download Music Video,Units,2009
294.3,Ringtones & Ringbacks,Units,2009
,,Units,2009
1.2,Paid Subscriptions,Units,2009
4318.8,CD,Value,2009
3.1,CD Single,Value,2009
0,Cassette,Value,2009
,Cassette Single,Value,2009
63.8,LP/EP,Value,2009
2.5,Vinyl Single,Value,2009
,8 - Track,Value,2009
,Other Tapes,Value,2009
209.6,Music Video (Physical),Value,2009
1.6,DVD Audio,Value,2009
2.4,SACD,Value,2009
1172,Download Single,Value,2009
744.3,Download Album,Value,2009
6.3,Kiosk,Value,2009
40.9,Download Music Video,Value,2009
702.8,Ringtones & Ringbacks,Value,2009
,Other Digital,Value,2009
206.2,Paid Subscription,Value,2009
,Limited Tier Paid Subscription,Value,2009
155.5,SoundExchange Distributions,Value,2009
,On-Demand Streaming (Ad-Supported),Value,2009
,Other Ad-Supported Streaming,Value,2009
201.2,Synchronization,Value,2009
4934.460051,CD,Value (Adjusted),2009
3.541915847,CD Single,Value (Adjusted),2009
,Cassette,Value (Adjusted),2009
,Cassette Single,Value (Adjusted),2009
72.89491323,LP/EP,Value (Adjusted),2009
2.856383747,Vinyl Single,Value (Adjusted),2009
,8 - Track,Value (Adjusted),2009
,Other Tapes,Value (Adjusted),2009
239.4792134,Music Video (Physical),Value (Adjusted),2009
1.828085598,DVD Audio,Value (Adjusted),2009
2.742128397,SACD,Value (Adjusted),2009
1339.072701,Download Single,Value (Adjusted),2009
850.4025693,Download Album,Value (Adjusted),2009
7.198087043,Kiosk,Value (Adjusted),2009
46.73043811,Download Music Video,Value (Adjusted),2009
802.986599,Ringtones & Ringbacks,Value (Adjusted),2009
,Other Digital,Value (Adjusted),2009
235.5945315,Paid Subscription,Value (Adjusted),2009
,Limited Tier Paid Subscription,Value (Adjusted),2009
